,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
240,7,38,13,8,3,398,3.0,40,40,4,10,5.0,0.0,3,5.0,0.0,3,1,4.0,3.0,10.0,10.0
241,7,38,15,1,3,339,3.0,88,88,1,10,5.0,5.0,3,5.0,5.0,3,3,4.0,4.0,10.0,10.0
242,7,38,15,2,3,339,3.0,86,86,2,8,2.0,5.0,3,2.0,5.0,3,3,1.0,4.0,10.0,10.0
243,7,38,15,3,3,339,3.0,83,83,3,5,3.0,2.0,1,3.0,2.0,3,3,2.0,1.0,8.0,8.0
244,7,38,15,4,3,243,3.0,83,83,4,5,0.0,3.0,2,0.0,3.0,1,3,3.0,2.0,5.0,5.0
245,7,38,17,1,3,109,2.0,55,55,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,5.0,5.0
246,7,38,17,2,3,109,2.0,48,48,2,3,7.0,0.0,3,7.0,0.0,1,2,1.0,4.0,10.0,10.0
247,7,38,17,3,3,109,2.0,46,46,3,1,2.0,7.0,3,2.0,7.0,3,1,2.0,1.0,3.0,3.0
248,7,38,17,4,3,109,2.0,43,43,1,10,3.0,2.0,1,3.0,2.0,3,3,3.0,2.0,1.0,1.0
249,7,38,17,5,3,109,2.0,43,43,2,10,0.0,3.0,3,0.0,3.0,1,3,1.0,3.0,10.0,10.0
250,7,38,17,6,3,0,2.0,43,43,2,10,-2.0,0.0,3,-2.0,0.0,3,1,2.0,1.0,10.0,10.0
